,HTLC,FEE_BASE,FEE_RATE
02c6ccd3227ee919bccb2ec2b01f28476e6ec2ec2d5eaff8a7629ff9389484259b,['1000'],['0'],['1']
03a042a5166017a87efa4bcd530dc4b695ed201722e99279ab68a1077cdd182728,['1000'],['0'],['1']
0366230aacf39a3f8e5cd1a23b9e5e0bff6c9f1e3b02de5552e53fdc74f0760dec,['1000'],['0'],['1']
02b90aa75643eac224fa60cd818a56d7ab82cd7ac8c85bd0459e71a90559882573,['1000'],['0'],['1']
03dc447baf8d4a4c9dfb38b57a2c64de2397d417e81b2fa01a138f7e649d4eb0e2,['1000'],['0'],['1']
02daa7b67815ee917746f2edb93cb8bb6e240e45d55ed15a7daf6b457bd48c9558,['1000'],['0'],['1']
038c3c1f4d304c7b997fecfdaf8fdfc2215405942c025349b45de9dfe6fdb8a43e,['1000'],['0'],['1']
03f709e9be94e93ac26319dc8003ee6044f73c71d7ea5c12ea509cbeb1b9e3ff0b,['1000'],['0'],['1']
0342f837fc7f67f1cd294d7fe48bca5768e155f2138dcae3d632a16914a0b53f0d,['1000'],['0'],['1']
02a5ffecd8269b9dac80af732d2dee81cf2737cae35af3819fc99f0bf361765e6d,['1000'],['0'],['0']
03f9d645370e1e4216f3c2fc4a0119d544d73be2ca9a08449b5253ce0a9c068ab8,['1000'],['0'],['0']
033ec79b24b04f1a88db7e52ea879043b49ccc9984c9f1ddfc2bdb78846d60ef5d,['1000'],['0'],['0']
03e4641db56098eb29d9fc12c0687b1b0063c6178fd66c02fc49966b91ea491810,['1000'],['0'],['0']
033f07e21f720ba2c05a1bed013d2e9a72b141fb020c9b4a94546fe36f1fa7b7fa,['1000'],['0'],['0']
02ab2f61a5feeeffeb31869295df6c6f0ff639756bbc942ce0a9df730892d65d6f,['1000'],['0'],['0']
031e782c02d1c807a7e8fb18a139109c7213bee61080f599d43b8e7f97214386ce,['1000'],['0'],['0']
02dcfbffc2b1fa6b15198f0475761971174627bf5b8256393426c9aab0ecfccfee,['1000'],['0'],['0']
03244985c44f60eb9adea21250ee1c7008ddcc18edcaf8587c3d29f067d5cf2705,['1000'],['1000'],['1']
